nome,cognome,username,password,dataNascita,luogodomicilio,ruolo
Luca,Rossi,lrossi,password123,1990-05-12,Roma,gestore
Maria,Bianchi,mbianchi,ciao2024,1985-11-23,Milano,gestore
Giulia,Verdi,gverdi,pass456,1993-03-05,Torino,cliente
Marco,Esposito,mesposito,secure789,1988-07-30,Napoli,gestore
Francesca,Colombo,fcolombo,qwerty1,1992-09-15,Genova,cliente
Alessandro,Neri,aneri,ciaomondo,1991-02-18,Firenze,gestore
Elena,Gallo,egallo,password!,1994-04-12,Bologna,cliente
Davide,Conti,dconti,passw0rd,1989-12-01,Verona,gestore
Sara,DeLuca,sdeluca,hello123,1995-08-07,Bari,cliente
Simone,Greco,sgreco,admin321,1986-06-20,Palermo,gestore
Chiara,Costa,ccosta,test123,1990-01-25,Venezia,cliente
Andrea,Russo,arusso,ciao123,1993-10-10,Trieste,gestore
Martina,Ferri,mferri,pass999,1992-03-03,Lecce,cliente
Giorgio,Romano,gromano,passwordok,1987-11-11,Cagliari,gestore
Valentina,Marini,vmarini,mypass1,1991-06-06,ReggioEmilia,cliente
Fabio,Fontana,ffontana,segretissimo,1994-12-19,Ancona,gestore
Roberta,Testa,rtesta,ciaobello,1990-09-09,Bergamo,cliente
Lorenzo,Grassi,lgrassi,passwow,1988-08-08,Perugia,gestore
Ilaria,Barbieri,ibarbieri,okokok,1995-05-05,Messina,cliente
Matteo,Riva,mriva,gianni123,1986-04-04,Sassari,gestore
